,participant,phase,heartbeat_idreference,b_point_samplereference,multiple-conditions_autoregression,multiple-conditions_linear-interpolation,multiple-conditions_none,second-derivative_autoregression,second-derivative_linear-interpolation,second-derivative_none,straight-line_autoregression,straight-line_linear-interpolation,straight-line_none,third-derivative_autoregression,third-derivative_linear-interpolation,third-derivative_none
0,GDN0005,HoldingBreath,0,540,705.0,705.0,705.0,572.0,572.0,572.0,546.0,546.0,546.0,543.0,543.0,543.0
1,GDN0005,HoldingBreath,1,973,1068.0,1072.0,1014.0,984.0,993.0,965.0,981.0,981.0,981.0,964.0,964.0,939.0
2,GDN0005,HoldingBreath,3,1741,1757.0,1760.0,1740.0,1736.0,1736.0,1736.0,1746.0,1746.0,1746.0,1746.0,1746.0,1746.0
3,GDN0005,HoldingBreath,4,2121,2120.0,2120.0,2120.0,2114.0,2114.0,2114.0,2124.0,2124.0,2124.0,2124.0,2124.0,2124.0
4,GDN0005,HoldingBreath,5,2499,2498.0,2498.0,2498.0,2515.0,2515.0,2515.0,2502.0,2507.0,2502.0,2500.0,2500.0,2500.0
5,GDN0005,HoldingBreath,6,2892,2880.0,2890.0,2854.0,2878.0,2878.0,2878.0,2899.0,2899.0,2899.0,2891.0,2895.0,2857.0
6,GDN0005,HoldingBreath,7,3279,3279.0,3279.0,3279.0,3275.0,3275.0,3275.0,3284.0,3284.0,3284.0,3284.0,3284.0,3284.0
7,GDN0005,HoldingBreath,9,4117,4089.0,4100.0,,4114.0,4114.0,4114.0,4122.0,4122.0,4122.0,4123.0,4123.0,4123.0
8,GDN0005,HoldingBreath,10,4521,4520.0,4520.0,4520.0,4516.0,4516.0,4516.0,4533.0,4537.0,4525.0,4535.0,4539.0,4524.0
9,GDN0005,HoldingBreath,11,4920,4913.0,4916.0,4898.0,4913.0,4913.0,4913.0,4932.0,4932.0,4932.0,4934.0,4934.0,4934.0
10,GDN0005,HoldingBreath,12,5307,5306.0,5306.0,5306.0,5301.0,5301.0,5301.0,5317.0,5317.0,5317.0,5320.0,5320.0,5320.0
