,participant,phase,heartbeat_idreference,b_point_samplereference,multiple-conditions_autoregression,multiple-conditions_linear-interpolation,multiple-conditions_none,second-derivative_autoregression,second-derivative_linear-interpolation,second-derivative_none,straight-line_autoregression,straight-line_linear-interpolation,straight-line_none,third-derivative_autoregression,third-derivative_linear-interpolation,third-derivative_none
0,GDN0005,HoldingBreath,0,1080.0,1410.0,1410.0,1410.0,1144.0,1144.0,1144.0,1092.0,1092.0,1092.0,1086.0,1086.0,1086.0
1,GDN0005,HoldingBreath,1,1946.0,2136.0,2144.0,2028.0,1968.0,1986.0,1930.0,1962.0,1962.0,1962.0,1928.0,1928.0,1878.0
2,GDN0005,HoldingBreath,3,3482.0,3514.0,3520.0,3480.0,3472.0,3472.0,3472.0,3492.0,3492.0,3492.0,3492.0,3492.0,3492.0
3,GDN0005,HoldingBreath,4,4242.0,4240.0,4240.0,4240.0,4228.0,4228.0,4228.0,4248.0,4248.0,4248.0,4248.0,4248.0,4248.0
4,GDN0005,HoldingBreath,5,4998.0,4996.0,4996.0,4996.0,5030.0,5030.0,5030.0,5004.0,5014.0,5004.0,5000.0,5000.0,5000.0
5,GDN0005,HoldingBreath,6,5784.0,5760.0,5780.0,5708.0,5756.0,5756.0,5756.0,5798.0,5798.0,5798.0,5782.0,5790.0,5714.0
6,GDN0005,HoldingBreath,7,6558.0,6558.0,6558.0,6558.0,6550.0,6550.0,6550.0,6568.0,6568.0,6568.0,6568.0,6568.0,6568.0
7,GDN0005,HoldingBreath,9,8234.0,8178.0,8200.0,,8228.0,8228.0,8228.0,8244.0,8244.0,8244.0,8246.0,8246.0,8246.0
8,GDN0005,HoldingBreath,10,9042.0,9040.0,9040.0,9040.0,9032.0,9032.0,9032.0,9066.0,9074.0,9050.0,9070.0,9078.0,9048.0
9,GDN0005,HoldingBreath,11,9840.0,9826.0,9832.0,9796.0,9826.0,9826.0,9826.0,9864.0,9864.0,9864.0,9868.0,9868.0,9868.0
10,GDN0005,HoldingBreath,12,10614.0,10612.0,10612.0,10612.0,10602.0,10602.0,10602.0,10634.0,10634.0,10634.0,10640.0,10640.0,10640.0
