heartbeat_id,channel,label,sample_absolute,sample_relative
0,heartbeat,start,79532,16
0,ECG,Q-wave_onset,79661,145
0,heartbeat,end,79959,443
1,heartbeat,start,79959,443
1,ECG,Q-wave_onset,80089,573
1,heartbeat,end,80382,866
2,heartbeat,start,80382,866
2,ECG,Q-wave_onset,80510,994
2,heartbeat,end,80786,1270
3,heartbeat,start,80786,1270
3,ECG,Q-wave_onset,80906,1390
3,heartbeat,end,81180,1664
4,heartbeat,start,81180,1664
4,ECG,Q-wave_onset,81297,1781
4,heartbeat,end,81566,2050
5,heartbeat,start,81566,2050
5,ECG,Q-wave_onset,81681,2165
5,heartbeat,end,81948,2432
6,heartbeat,start,81948,2432
6,ECG,Q-wave_onset,82061,2545
6,heartbeat,end,82331,2815
7,heartbeat,start,82331,2815
7,ECG,Q-wave_onset,82447,2931
7,heartbeat,end,82722,3206
8,heartbeat,start,82722,3206
8,ECG,Q-wave_onset,82841,3325
8,heartbeat,end,83114,3598
9,heartbeat,start,83114,3598
9,ECG,Q-wave_onset,83232,3716
9,heartbeat,end,83498,3982
10,heartbeat,start,83498,3982
10,ECG,Q-wave_onset,83617,4101
10,heartbeat,end,83869,4353
11,heartbeat,start,83869,4353
11,ECG,Q-wave_onset,83985,4469
11,heartbeat,end,84236,4720
12,heartbeat,start,84236,4720
12,ECG,Q-wave_onset,84354,4838
12,heartbeat,end,84602,5086
13,heartbeat,start,84602,5086
13,ECG,Q-wave_onset,84718,5202
13,heartbeat,end,84967,5451
14,heartbeat,start,84967,5451
14,ECG,Q-wave_onset,85076,5560
14,heartbeat,end,85339,5823
15,heartbeat,start,85339,5823
15,ECG,Q-wave_onset,85459,5943
15,heartbeat,end,85718,6202
16,heartbeat,start,85718,6202
16,ECG,Q-wave_onset,85833,6317
16,heartbeat,end,86097,6581
17,heartbeat,start,86097,6581
17,ECG,Q-wave_onset,86210,6694
17,heartbeat,end,86471,6955
18,heartbeat,start,86471,6955
18,ECG,Q-wave_onset,86591,7075
18,heartbeat,end,86838,7322
19,heartbeat,start,86838,7322
19,ECG,Q-wave_onset,86955,7439
19,heartbeat,end,87192,7676
20,heartbeat,start,87192,7676
20,ECG,Q-wave_onset,87304,7788
20,heartbeat,end,87539,8023
21,heartbeat,start,87539,8023
21,ECG,Q-wave_onset,87639,8123
21,heartbeat,end,87887,8371
22,heartbeat,start,87887,8371
22,ECG,Q-wave_onset,87990,8474
22,heartbeat,end,88254,8738
23,heartbeat,start,88254,8738
23,ECG,Q-wave_onset,88372,8856
23,heartbeat,end,88645,9129
24,heartbeat,start,88645,9129
24,ECG,Q-wave_onset,88769,9253
24,heartbeat,end,89049,9533
25,heartbeat,start,89049,9533
25,ECG,Q-wave_onset,89181,9665
25,heartbeat,end,89461,9945
26,heartbeat,start,89461,9945
26,ECG,Q-wave_onset,89588,10072
26,heartbeat,end,89860,10344
27,heartbeat,start,89860,10344
27,ECG,Q-wave_onset,89985,10469
27,heartbeat,end,90240,10724
28,heartbeat,start,90240,10724
28,ECG,Q-wave_onset,90356,10840
28,heartbeat,end,90612,11096
29,heartbeat,start,90612,11096
29,ECG,Q-wave_onset,90721,11205
29,heartbeat,end,90978,11462
30,heartbeat,start,90978,11462
30,ECG,Q-wave_onset,91085,11569
30,heartbeat,end,91342,11826
31,heartbeat,start,91342,11826
31,ECG,Q-wave_onset,91458,11942
31,heartbeat,end,91705,12189
32,heartbeat,start,91705,12189
32,ECG,Q-wave_onset,91822,12306
32,heartbeat,end,92063,12547
33,heartbeat,start,92063,12547
33,ECG,Q-wave_onset,92168,12652
33,heartbeat,end,92417,12901
34,heartbeat,start,92417,12901
34,ECG,Q-wave_onset,92529,13013
34,heartbeat,end,92782,13266
35,heartbeat,start,92782,13266
35,ECG,Q-wave_onset,92895,13379
35,heartbeat,end,93167,13651
36,heartbeat,start,93167,13651
36,ECG,Q-wave_onset,93293,13777
36,heartbeat,end,93563,14047
37,heartbeat,start,93563,14047
37,ECG,Q-wave_onset,93684,14168
37,heartbeat,end,93964,14448
38,heartbeat,start,93964,14448
38,ECG,Q-wave_onset,94095,14579
38,heartbeat,end,94366,14850
39,heartbeat,start,94366,14850
39,ECG,Q-wave_onset,94488,14972
39,heartbeat,end,94759,15243
40,heartbeat,start,94759,15243
40,ECG,Q-wave_onset,94873,15357
40,heartbeat,end,95141,15625
41,heartbeat,start,95141,15625
41,ECG,Q-wave_onset,95261,15745
41,heartbeat,end,95513,15997
42,heartbeat,start,95513,15997
42,ECG,Q-wave_onset,95623,16107
42,heartbeat,end,95874,16358
43,heartbeat,start,95874,16358
43,ECG,Q-wave_onset,95981,16465
43,heartbeat,end,96228,16712
44,heartbeat,start,96228,16712
44,ECG,Q-wave_onset,96333,16817
44,heartbeat,end,96592,17076
45,heartbeat,start,96592,17076
45,ECG,Q-wave_onset,96704,17188
45,heartbeat,end,96978,17462
46,heartbeat,start,96978,17462
46,ECG,Q-wave_onset,97105,17589
46,heartbeat,end,97371,17855
47,heartbeat,start,97371,17855
47,ECG,Q-wave_onset,97499,17983
47,heartbeat,end,97761,18245
48,heartbeat,start,97761,18245
48,ECG,Q-wave_onset,97886,18370
48,heartbeat,end,98141,18625
49,heartbeat,start,98141,18625
49,ECG,Q-wave_onset,98246,18730
49,heartbeat,end,98510,18994
50,heartbeat,start,98510,18994
50,ECG,Q-wave_onset,98629,19113
50,heartbeat,end,98873,19357
51,heartbeat,start,98873,19357
51,ECG,Q-wave_onset,98990,19474
51,heartbeat,end,99231,19715
52,heartbeat,start,99231,19715
52,ECG,Q-wave_onset,99343,19827
52,heartbeat,end,99582,20066
53,heartbeat,start,99582,20066
53,ECG,Q-wave_onset,99687,20171
53,heartbeat,end,99931,20415
54,heartbeat,start,99931,20415
54,ECG,Q-wave_onset,100042,20526
54,heartbeat,end,100282,20766
55,heartbeat,start,100282,20766
