,,,,heartbeat_id,heartbeat_id,heartbeat_start_sample,heartbeat_start_sample,heartbeat_end_sample,heartbeat_end_sample,q_wave_onset_sample,q_wave_onset_sample,b_point_sample,b_point_sample,rr_interval_ms,rr_interval_ms,pep_sample,pep_sample,pep_ms,pep_ms,nan_reason,nan_reason,error_per_sample_ms,absolute_error_per_sample_ms,absolute_relative_error_per_sample_percent
,,,,estimated,reference,estimated,reference,estimated,reference,estimated,reference,estimated,reference,estimated,reference,estimated,reference,estimated,reference,estimated,reference,metric,metric,metric
participant,condition,phase,,,,,,,,,,,,,,,,,,,,,,
VP_001,tsst,Prep,0,0,0,394,399,984,985,567,567,665,634,590.0,590.0,98,67,98.0,67.0,,,-31.0,31.0,46.26865671641791
VP_001,tsst,Prep,1,1,1,984,985,1569,1569,1157,1156,1247,1206,581.0,581.0,90,50,90.0,50.0,,,-40.0,40.0,80.0
VP_001,tsst,Prep,2,2,2,1569,1569,2134,2134,1738,1735,1836,1811,557.0,557.0,98,76,98.0,76.0,,,-22.0,22.0,28.947368421052634
VP_001,tsst,Prep,3,3,3,2134,2134,2684,2684,2295,2291,2396,2382,546.0,546.0,101,91,101.0,91.0,,,-10.0,10.0,10.989010989010989
VP_001,tsst,Prep,4,4,4,2684,2684,3227,3227,2841,2846,2941,2926,541.0,541.0,100,80,100.0,80.0,,,-20.0,20.0,25.0
VP_001,tsst,Prep,5,5,5,3227,3227,3769,3769,3382,3378,3481,3456,543.0,543.0,99,78,99.0,78.0,,,-21.0,21.0,26.923076923076923
VP_001,tsst,Prep,6,6,6,3769,3769,4314,4314,3925,3923,4023,3996,546.0,546.0,98,73,98.0,73.0,,,-25.0,25.0,34.24657534246575
VP_001,tsst,Prep,7,7,7,4314,4314,4862,4863,4471,4469,4568,4542,550.0,550.0,97,73,97.0,73.0,,,-24.0,24.0,32.87671232876712
VP_001,tsst,Prep,8,8,8,4862,4863,5404,5404,5021,5022,5121,5102,537.0,537.0,100,80,100.0,80.0,,,-20.0,20.0,25.0
VP_001,tsst,Prep,9,9,9,5404,5404,5943,5943,5558,5553,5660,5637,540.0,540.0,102,84,102.0,84.0,,,-18.0,18.0,21.428571428571427
VP_001,tsst,Prep,10,10,10,5943,5943,6484,6484,6098,6094,6199,6183,541.0,541.0,101,89,101.0,89.0,,,-12.0,12.0,13.48314606741573
VP_001,tsst,Prep,11,11,11,6484,6484,7032,7032,6639,6636,6739,6709,552.0,552.0,100,73,100.0,73.0,,,-27.0,27.0,36.986301369863014
VP_001,tsst,Prep,12,12,12,7032,7032,7595,7595,7191,7190,7290,7256,569.0,569.0,99,66,99.0,66.0,,,-33.0,33.0,50.0
VP_001,tsst,Prep,13,13,13,7595,7595,8171,8171,7760,7757,7858,7826,580.0,580.0,98,69,98.0,69.0,,,-29.0,29.0,42.028985507246375
VP_001,tsst,Prep,14,14,14,8171,8171,8738,8738,8340,8351,8439,8406,560.0,560.0,99,55,99.0,55.0,,,-44.0,44.0,80.0
VP_001,tsst,Prep,15,15,15,8738,8738,9295,9295,8900,8897,9003,8975,556.0,556.0,103,78,103.0,78.0,,,-25.0,25.0,32.05128205128205
VP_001,tsst,Prep,16,16,16,9295,9295,9854,9854,9456,9453,9557,9537,560.0,560.0,101,84,101.0,84.0,,,-17.0,17.0,20.238095238095237
VP_001,tsst,Prep,17,17,17,9854,9854,10417,10417,10016,10013,10114,10096,565.0,565.0,98,83,98.0,83.0,,,-15.0,15.0,18.072289156626507
