,,,,heartbeat_id,heartbeat_id,heartbeat_start_sample,heartbeat_start_sample,heartbeat_end_sample,heartbeat_end_sample,q_wave_onset_sample,q_wave_onset_sample,b_point_sample,b_point_sample,rr_interval_ms,rr_interval_ms,pep_sample,pep_sample,pep_ms,pep_ms,nan_reason,nan_reason,error_per_sample_ms,absolute_error_per_sample_ms,absolute_relative_error_per_sample_percent
,,,,estimated,reference,estimated,reference,estimated,reference,estimated,reference,estimated,reference,estimated,reference,estimated,reference,estimated,reference,estimated,reference,metric,metric,metric
participant,condition,phase,,,,,,,,,,,,,,,,,,,,,,
VP_001,tsst,Prep,0,0,0,394,399,984,985,569,567,669,634,590.0,590.0,100,67,100.0,67.0,,,-33.0,33.0,49.25373134328358
VP_001,tsst,Prep,1,1,1,984,985,1569,1569,1159,1156,1238,1206,581.0,581.0,79,50,79.0,50.0,,,-29.0,29.0,57.99999999999999
VP_001,tsst,Prep,2,2,2,1569,1569,2134,2134,1740,1735,1834,1811,557.0,557.0,94,76,94.0,76.0,,,-18.0,18.0,23.684210526315788
VP_001,tsst,Prep,3,3,3,2134,2134,2684,2684,2297,2291,2394,2382,546.0,546.0,97,91,97.0,91.0,,,-6.0,6.0,6.593406593406594
VP_001,tsst,Prep,4,4,4,2684,2684,3227,3227,2843,2846,2943,2926,541.0,541.0,100,80,100.0,80.0,,,-20.0,20.0,25.0
VP_001,tsst,Prep,5,5,5,3227,3227,3769,3769,3384,3378,3481,3456,543.0,543.0,97,78,97.0,78.0,,,-19.0,19.0,24.358974358974358
VP_001,tsst,Prep,6,6,6,3769,3769,4314,4314,3927,3923,4021,3996,546.0,546.0,94,73,94.0,73.0,,,-21.0,21.0,28.767123287671232
VP_001,tsst,Prep,7,7,7,4314,4314,4862,4863,4473,4469,4565,4542,550.0,550.0,92,73,92.0,73.0,,,-19.0,19.0,26.027397260273972
VP_001,tsst,Prep,8,8,8,4862,4863,5404,5404,5023,5022,5120,5102,537.0,537.0,97,80,97.0,80.0,,,-17.0,17.0,21.25
VP_001,tsst,Prep,9,9,9,5404,5404,5943,5943,5560,5553,5661,5637,540.0,540.0,101,84,101.0,84.0,,,-17.0,17.0,20.238095238095237
VP_001,tsst,Prep,10,10,10,5943,5943,6484,6484,6100,6094,6201,6183,541.0,541.0,101,89,101.0,89.0,,,-12.0,12.0,13.48314606741573
VP_001,tsst,Prep,11,11,11,6484,6484,7032,7032,6641,6636,6742,6709,552.0,552.0,101,73,101.0,73.0,,,-28.0,28.0,38.35616438356164
VP_001,tsst,Prep,12,12,12,7032,7032,7595,7595,7193,7190,7288,7256,569.0,569.0,95,66,95.0,66.0,,,-29.0,29.0,43.93939393939394
VP_001,tsst,Prep,13,13,13,7595,7595,8171,8171,7762,7757,7856,7826,580.0,580.0,94,69,94.0,69.0,,,-25.0,25.0,36.231884057971016
VP_001,tsst,Prep,14,14,14,8171,8171,8738,8738,8342,8351,8437,8406,560.0,560.0,95,55,95.0,55.0,,,-40.0,40.0,72.72727272727273
VP_001,tsst,Prep,15,15,15,8738,8738,9295,9295,8902,8897,9006,8975,556.0,556.0,104,78,104.0,78.0,,,-26.0,26.0,33.33333333333333
VP_001,tsst,Prep,16,16,16,9295,9295,9854,9854,9458,9453,9559,9537,560.0,560.0,101,84,101.0,84.0,,,-17.0,17.0,20.238095238095237
VP_001,tsst,Prep,17,17,17,9854,9854,10417,10417,10018,10013,10116,10096,565.0,565.0,98,83,98.0,83.0,,,-15.0,15.0,18.072289156626507
