,,,,heartbeat_id,heartbeat_id,heartbeat_start_sample,heartbeat_start_sample,heartbeat_end_sample,heartbeat_end_sample,q_wave_onset_sample,q_wave_onset_sample,b_point_sample,b_point_sample,rr_interval_ms,rr_interval_ms,pep_sample,pep_sample,pep_ms,pep_ms,nan_reason,nan_reason,error_per_sample_ms,absolute_error_per_sample_ms,absolute_relative_error_per_sample_percent
,,,,estimated,reference,estimated,reference,estimated,reference,estimated,reference,estimated,reference,estimated,reference,estimated,reference,estimated,reference,estimated,reference,metric,metric,metric
participant,condition,phase,,,,,,,,,,,,,,,,,,,,,,
VP_001,tsst,Prep,0,0,0,394,399,984,985,559,567,666,634,590.0,590.0,107,67,107.0,67.0,,,-40.0,40.0,59.70149253731343
VP_001,tsst,Prep,1,1,1,984,985,1569,1569,1149,1156,1239,1206,581.0,581.0,90,50,90.0,50.0,,,-40.0,40.0,80.0
VP_001,tsst,Prep,2,2,2,1569,1569,2134,2134,1730,1735,1835,1811,557.0,557.0,105,76,105.0,76.0,,,-29.0,29.0,38.15789473684211
VP_001,tsst,Prep,3,3,3,2134,2134,2684,2684,2287,2291,2396,2382,546.0,546.0,109,91,109.0,91.0,,,-18.0,18.0,19.78021978021978
VP_001,tsst,Prep,4,4,4,2684,2684,3227,3227,2833,2846,2943,2926,541.0,541.0,110,80,110.0,80.0,,,-30.0,30.0,37.5
VP_001,tsst,Prep,5,5,5,3227,3227,3769,3769,3374,3378,3479,3456,543.0,543.0,105,78,105.0,78.0,,,-27.0,27.0,34.61538461538461
VP_001,tsst,Prep,6,6,6,3769,3769,4314,4314,3917,3923,4022,3996,546.0,546.0,105,73,105.0,73.0,,,-32.0,32.0,43.83561643835616
VP_001,tsst,Prep,7,7,7,4314,4314,4862,4863,4463,4469,4563,4542,550.0,550.0,100,73,100.0,73.0,,,-27.0,27.0,36.986301369863014
VP_001,tsst,Prep,8,8,8,4862,4863,5404,5404,5013,5022,5122,5102,537.0,537.0,109,80,109.0,80.0,,,-29.0,29.0,36.25
VP_001,tsst,Prep,9,9,9,5404,5404,5943,5943,5550,5553,5661,5637,540.0,540.0,111,84,111.0,84.0,,,-27.0,27.0,32.142857142857146
VP_001,tsst,Prep,10,10,10,5943,5943,6484,6484,6090,6094,6200,6183,541.0,541.0,110,89,110.0,89.0,,,-21.0,21.0,23.595505617977526
VP_001,tsst,Prep,11,11,11,6484,6484,7032,7032,6631,6636,6742,6709,552.0,552.0,111,73,111.0,73.0,,,-38.0,38.0,52.054794520547944
VP_001,tsst,Prep,12,12,12,7032,7032,7595,7595,7183,7190,7289,7256,569.0,569.0,106,66,106.0,66.0,,,-40.0,40.0,60.60606060606061
VP_001,tsst,Prep,13,13,13,7595,7595,8171,8171,7752,7757,7855,7826,580.0,580.0,103,69,103.0,69.0,,,-34.0,34.0,49.275362318840585
VP_001,tsst,Prep,14,14,14,8171,8171,8738,8738,8332,8351,8438,8406,560.0,560.0,106,55,106.0,55.0,,,-51.0,51.0,92.72727272727272
VP_001,tsst,Prep,15,15,15,8738,8738,9295,9295,8892,8897,8999,8975,556.0,556.0,107,78,107.0,78.0,,,-29.0,29.0,37.17948717948718
VP_001,tsst,Prep,16,16,16,9295,9295,9854,9854,9448,9453,9559,9537,560.0,560.0,111,84,111.0,84.0,,,-27.0,27.0,32.142857142857146
VP_001,tsst,Prep,17,17,17,9854,9854,10417,10417,10008,10013,10116,10096,565.0,565.0,108,83,108.0,83.0,,,-25.0,25.0,30.120481927710845
