,,,,heartbeat_id,heartbeat_id,heartbeat_start_sample,heartbeat_start_sample,heartbeat_end_sample,heartbeat_end_sample,q_wave_onset_sample,q_wave_onset_sample,b_point_sample,b_point_sample,rr_interval_ms,rr_interval_ms,pep_sample,pep_sample,pep_ms,pep_ms,nan_reason,nan_reason,error_per_sample_ms,absolute_error_per_sample_ms,absolute_relative_error_per_sample_percent
,,,,estimated,reference,estimated,reference,estimated,reference,estimated,reference,estimated,reference,estimated,reference,estimated,reference,estimated,reference,estimated,reference,metric,metric,metric
participant,condition,phase,,,,,,,,,,,,,,,,,,,,,,
VP_001,tsst,Prep,0,0,0,394,399,984,985,544,567,616,634,590.0,590.0,72,67,72.0,67.0,,,-5.0,5.0,7.462686567164178
VP_001,tsst,Prep,1,1,1,984,985,1569,1569,1133,1156,1197,1206,581.0,581.0,64,50,64.0,50.0,,,-14.0,14.0,28.000000000000004
VP_001,tsst,Prep,2,2,2,1569,1569,2134,2134,1735,1735,1750,1811,557.0,557.0,15,76,15.0,76.0,,,61.0,61.0,80.26315789473685
VP_001,tsst,Prep,3,3,3,2134,2134,2684,2684,2272,2291,2287,2382,546.0,546.0,15,91,15.0,91.0,,,76.0,76.0,83.51648351648352
VP_001,tsst,Prep,4,4,4,2684,2684,3227,3227,2844,2846,2924,2926,541.0,541.0,80,80,80.0,80.0,,,0.0,0.0,0.0
VP_001,tsst,Prep,5,5,5,3227,3227,3769,3769,3378,3378,3441,3456,543.0,543.0,63,78,63.0,78.0,,,15.0,15.0,19.230769230769234
VP_001,tsst,Prep,6,6,6,3769,3769,4314,4314,3901,3923,3922,3996,546.0,546.0,21,73,21.0,73.0,,,52.0,52.0,71.23287671232876
VP_001,tsst,Prep,7,7,7,4314,4314,4862,4863,4447,4469,4469,4542,550.0,550.0,22,73,22.0,73.0,,,51.0,51.0,69.86301369863014
VP_001,tsst,Prep,8,8,8,4862,4863,5404,5404,4996,5022,5057,5102,537.0,537.0,61,80,61.0,80.0,,,19.0,19.0,23.75
VP_001,tsst,Prep,9,9,9,5404,5404,5943,5943,5535,5553,5641,5637,540.0,540.0,106,84,106.0,84.0,,,-22.0,22.0,26.190476190476193
VP_001,tsst,Prep,10,10,10,5943,5943,6484,6484,6075,6094,6182,6183,541.0,541.0,107,89,107.0,89.0,,,-18.0,18.0,20.224719101123593
VP_001,tsst,Prep,11,11,11,6484,6484,7032,7032,6617,6636,6702,6709,552.0,552.0,85,73,85.0,73.0,,,-12.0,12.0,16.43835616438356
VP_001,tsst,Prep,12,12,12,7032,7032,7595,7595,7168,7190,7249,7256,569.0,569.0,81,66,81.0,66.0,,,-15.0,15.0,22.727272727272727
VP_001,tsst,Prep,13,13,13,7595,7595,8171,8171,7736,7757,7817,7826,580.0,580.0,81,69,81.0,69.0,,,-12.0,12.0,17.391304347826086
VP_001,tsst,Prep,14,14,14,8171,8171,8738,8738,8318,8351,8393,8406,560.0,560.0,75,55,75.0,55.0,,,-20.0,20.0,36.36363636363637
VP_001,tsst,Prep,15,15,15,8738,8738,9295,9295,8872,8897,8899,8975,556.0,556.0,27,78,27.0,78.0,,,51.0,51.0,65.38461538461539
VP_001,tsst,Prep,16,16,16,9295,9295,9854,9854,9433,9453,9537,9537,560.0,560.0,104,84,104.0,84.0,,,-20.0,20.0,23.809523809523807
VP_001,tsst,Prep,17,17,17,9854,9854,10417,10417,9993,10013,10072,10096,565.0,565.0,79,83,79.0,83.0,,,4.0,4.0,4.819277108433735
