,mean,mean,mean,mean,std,std,std,std
metric_type,MAE,MARE,ME,MRE,MAE,MARE,ME,MRE
algorithm,,,,,,,,
MinMax_KBest_DTR_RR-Interval,8.126783114992723,2.3915295189386234,0.014798641436196022,-0.13692578122772073,13.97327754089518,4.222507700854087,16.16487796490472,4.850854491933109
MinMax_KBest_DTR_RR-Interval-Median-Imputed,8.954614832106303,2.7309237606488144,-0.10679655234332915,-0.2359009134777521,15.732389008439554,4.936474043611852,18.102181748679467,5.636642261726241
MinMax_KBest_DTR_Without-RR-Interval,8.430749254592671,2.4750823428222284,-0.19866307588727516,-0.20637931739076348,14.101362226646946,4.256786349607619,16.428430108644722,4.919782045837658
MinMax_KBest_DTR_Without-RR-Interval-Median-Imputed,9.086484562683513,2.7914707056547456,-0.38232938873565264,-0.37354867735822034,16.23350378211843,5.355503956547715,18.5997850756398,6.0278415446469245
MinMax_KBest_KNR_RR-Interval,8.601272506514713,2.5119441835064755,0.05897039326461905,-0.17985355336396133,12.611191834665402,3.925445094201891,15.265246486598569,4.6569565919163916
MinMax_KBest_KNR_RR-Interval-Median-Imputed,9.31878975724981,2.8381169411022618,-0.0261510366435627,-0.298325896530617,15.014308327313541,5.032600615438392,17.671344333897817,5.770068773474231
MinMax_KBest_KNR_Without-RR-Interval,8.569099642006607,2.5051673782202593,-0.09667211992477656,-0.22122848374552226,12.545336417404288,3.9028856817694773,15.192519585152152,4.632497940492883
MinMax_KBest_KNR_Without-RR-Interval-Median-Imputed,9.368756895187026,2.819508797009477,0.3292880844454309,-0.14930533966538567,14.217675350307704,4.484067149647664,17.023961591420118,5.294799465436685
MinMax_KBest_RFR_RR-Interval,7.781645352721233,2.2662883289759836,0.1382967739290345,-0.11901737081702378,11.492857628223044,3.5360182090410976,13.878995992203551,4.198311506873161
MinMax_KBest_RFR_RR-Interval-Median-Imputed,8.2922167075521,2.514075183378386,0.024293923726369415,-0.20947773861077829,12.259750485056962,3.920586497410438,14.800943339014458,4.652768549756067
