,,,,heartbeat_id,heartbeat_id,heartbeat_start_sample,heartbeat_start_sample,heartbeat_end_sample,heartbeat_end_sample,q_wave_onset_sample,q_wave_onset_sample,b_point_sample,b_point_sample,rr_interval_ms,rr_interval_ms,pep_sample,pep_sample,pep_ms,pep_ms,nan_reason,nan_reason,error_per_sample_ms,absolute_error_per_sample_ms,absolute_relative_error_per_sample_percent
,,,,estimated,reference,estimated,reference,estimated,reference,estimated,reference,estimated,reference,estimated,reference,estimated,reference,estimated,reference,estimated,reference,metric,metric,metric
participant,condition,phase,,,,,,,,,,,,,,,,,,,,,,
VP_001,tsst,Prep,0,0,0,394,399,984,985,567,567,669,634,590.0,590.0,102,67,102.0,67.0,,,-35.0,35.0,52.23880597014925
VP_001,tsst,Prep,1,1,1,984,985,1569,1569,1156,1156,1238,1206,581.0,581.0,82,50,82.0,50.0,,,-32.0,32.0,64.0
VP_001,tsst,Prep,2,2,2,1569,1569,2134,2134,1735,1735,1834,1811,557.0,557.0,99,76,99.0,76.0,,,-23.0,23.0,30.263157894736842
VP_001,tsst,Prep,3,3,3,2134,2134,2684,2684,2291,2291,2394,2382,546.0,546.0,103,91,103.0,91.0,,,-12.0,12.0,13.186813186813188
VP_001,tsst,Prep,4,4,4,2684,2684,3227,3227,2846,2846,2943,2926,541.0,541.0,97,80,97.0,80.0,,,-17.0,17.0,21.25
VP_001,tsst,Prep,5,5,5,3227,3227,3769,3769,3378,3378,3481,3456,543.0,543.0,103,78,103.0,78.0,,,-25.0,25.0,32.05128205128205
VP_001,tsst,Prep,6,6,6,3769,3769,4314,4314,3923,3923,4021,3996,546.0,546.0,98,73,98.0,73.0,,,-25.0,25.0,34.24657534246575
VP_001,tsst,Prep,7,7,7,4314,4314,4862,4863,4469,4469,4565,4542,550.0,550.0,96,73,96.0,73.0,,,-23.0,23.0,31.506849315068493
VP_001,tsst,Prep,8,8,8,4862,4863,5404,5404,5022,5022,5120,5102,537.0,537.0,98,80,98.0,80.0,,,-18.0,18.0,22.5
VP_001,tsst,Prep,9,9,9,5404,5404,5943,5943,5553,5553,5661,5637,540.0,540.0,108,84,108.0,84.0,,,-24.0,24.0,28.57142857142857
VP_001,tsst,Prep,10,10,10,5943,5943,6484,6484,6094,6094,6201,6183,541.0,541.0,107,89,107.0,89.0,,,-18.0,18.0,20.224719101123593
VP_001,tsst,Prep,11,11,11,6484,6484,7032,7032,6636,6636,6742,6709,552.0,552.0,106,73,106.0,73.0,,,-33.0,33.0,45.20547945205479
VP_001,tsst,Prep,12,12,12,7032,7032,7595,7595,7190,7190,7288,7256,569.0,569.0,98,66,98.0,66.0,,,-32.0,32.0,48.484848484848484
VP_001,tsst,Prep,13,13,13,7595,7595,8171,8171,7757,7757,7856,7826,580.0,580.0,99,69,99.0,69.0,,,-30.0,30.0,43.47826086956522
VP_001,tsst,Prep,14,14,14,8171,8171,8738,8738,8351,8351,8437,8406,560.0,560.0,86,55,86.0,55.0,,,-31.0,31.0,56.36363636363636
VP_001,tsst,Prep,15,15,15,8738,8738,9295,9295,8897,8897,8999,8975,556.0,556.0,102,78,102.0,78.0,,,-24.0,24.0,30.76923076923077
VP_001,tsst,Prep,16,16,16,9295,9295,9854,9854,9453,9453,9559,9537,560.0,560.0,106,84,106.0,84.0,,,-22.0,22.0,26.190476190476193
VP_001,tsst,Prep,17,17,17,9854,9854,10417,10417,10013,10013,10116,10096,565.0,565.0,103,83,103.0,83.0,,,-20.0,20.0,24.096385542168676
