,,,,heartbeat_id,heartbeat_id,heartbeat_start_sample,heartbeat_start_sample,heartbeat_end_sample,heartbeat_end_sample,q_wave_onset_sample,q_wave_onset_sample,b_point_sample,b_point_sample,rr_interval_ms,rr_interval_ms,pep_sample,pep_sample,pep_ms,pep_ms,nan_reason,nan_reason,error_per_sample_ms,absolute_error_per_sample_ms,absolute_relative_error_per_sample_percent
,,,,estimated,reference,estimated,reference,estimated,reference,estimated,reference,estimated,reference,estimated,reference,estimated,reference,estimated,reference,estimated,reference,metric,metric,metric
participant,condition,phase,,,,,,,,,,,,,,,,,,,,,,
VP_001,tsst,Prep,0,0,0,394,399,984,985,567,567,616,634,590.0,590.0,49,67,49.0,67.0,,,18.0,18.0,26.865671641791046
VP_001,tsst,Prep,1,1,1,984,985,1569,1569,1156,1156,1197,1206,581.0,581.0,41,50,41.0,50.0,,,9.0,9.0,18.0
VP_001,tsst,Prep,2,2,2,1569,1569,2134,2134,1735,1735,1780,1811,557.0,557.0,45,76,45.0,76.0,,,31.0,31.0,40.78947368421053
VP_001,tsst,Prep,3,3,3,2134,2134,2684,2684,2291,2291,2339,2382,546.0,546.0,48,91,48.0,91.0,,,43.0,43.0,47.25274725274725
VP_001,tsst,Prep,4,4,4,2684,2684,3227,3227,2846,2846,2924,2926,541.0,541.0,78,80,78.0,80.0,,,2.0,2.0,2.5
VP_001,tsst,Prep,5,5,5,3227,3227,3769,3769,3378,3378,3441,3456,543.0,543.0,63,78,63.0,78.0,,,15.0,15.0,19.230769230769234
VP_001,tsst,Prep,6,6,6,3769,3769,4314,4314,3923,3923,3968,3996,546.0,546.0,45,73,45.0,73.0,,,28.0,28.0,38.35616438356164
VP_001,tsst,Prep,7,7,7,4314,4314,4862,4863,4469,4469,4510,4542,550.0,550.0,41,73,41.0,73.0,,,32.0,32.0,43.83561643835616
VP_001,tsst,Prep,8,8,8,4862,4863,5404,5404,5022,5022,5070,5102,537.0,537.0,48,80,48.0,80.0,,,32.0,32.0,40.0
VP_001,tsst,Prep,9,9,9,5404,5404,5943,5943,5553,5553,5641,5637,540.0,540.0,88,84,88.0,84.0,,,-4.0,4.0,4.761904761904762
VP_001,tsst,Prep,10,10,10,5943,5943,6484,6484,6094,6094,6182,6183,541.0,541.0,88,89,88.0,89.0,,,1.0,1.0,1.1235955056179776
VP_001,tsst,Prep,11,11,11,6484,6484,7032,7032,6636,6636,6702,6709,552.0,552.0,66,73,66.0,73.0,,,7.0,7.0,9.58904109589041
VP_001,tsst,Prep,12,12,12,7032,7032,7595,7595,7190,7190,7249,7256,569.0,569.0,59,66,59.0,66.0,,,7.0,7.0,10.606060606060606
VP_001,tsst,Prep,13,13,13,7595,7595,8171,8171,7757,7757,7817,7826,580.0,580.0,60,69,60.0,69.0,,,9.0,9.0,13.043478260869565
VP_001,tsst,Prep,14,14,14,8171,8171,8738,8738,8351,8351,8393,8406,560.0,560.0,42,55,42.0,55.0,,,13.0,13.0,23.636363636363637
VP_001,tsst,Prep,15,15,15,8738,8738,9295,9295,8897,8897,8963,8975,556.0,556.0,66,78,66.0,78.0,,,12.0,12.0,15.384615384615385
VP_001,tsst,Prep,16,16,16,9295,9295,9854,9854,9453,9453,9537,9537,560.0,560.0,84,84,84.0,84.0,,,0.0,0.0,0.0
VP_001,tsst,Prep,17,17,17,9854,9854,10417,10417,10013,10013,10072,10096,565.0,565.0,59,83,59.0,83.0,,,24.0,24.0,28.915662650602407
