heartbeat_id,channel,label,sample_absolute,sample_relative
0,heartbeat,start,362779,191
0,ECG,Q-wave_onset,362922,334
0,heartbeat,end,363243,655
1,heartbeat,start,363243,655
1,ECG,Q-wave_onset,363386,798
1,heartbeat,end,363707,1119
2,heartbeat,start,363707,1119
2,ECG,Q-wave_onset,363851,1263
2,heartbeat,end,364172,1584
3,heartbeat,start,364172,1584
3,ECG,Q-wave_onset,364317,1729
3,heartbeat,end,364636,2048
4,heartbeat,start,364636,2048
4,ECG,Q-wave_onset,364780,2192
4,heartbeat,end,365098,2510
5,heartbeat,start,365098,2510
5,ECG,Q-wave_onset,365241,2653
5,heartbeat,end,365553,2965
6,heartbeat,start,365553,2965
6,ECG,Q-wave_onset,365694,3106
6,heartbeat,end,366008,3420
7,heartbeat,start,366008,3420
7,ECG,Q-wave_onset,366149,3561
7,heartbeat,end,366462,3874
8,heartbeat,start,366462,3874
8,ECG,Q-wave_onset,366603,4015
8,heartbeat,end,366917,4329
9,heartbeat,start,366917,4329
9,ECG,Q-wave_onset,367058,4470
9,heartbeat,end,367372,4784
10,heartbeat,start,367372,4784
10,ECG,Q-wave_onset,367514,4926
10,heartbeat,end,367828,5240
11,heartbeat,start,367828,5240
11,ECG,Q-wave_onset,367968,5380
11,heartbeat,end,368282,5694
12,heartbeat,start,368282,5694
12,ECG,Q-wave_onset,368421,5833
12,heartbeat,end,368738,6150
13,heartbeat,start,368738,6150
13,ECG,Q-wave_onset,368882,6294
13,heartbeat,end,369200,6612
14,heartbeat,start,369200,6612
14,ECG,Q-wave_onset,369344,6756
14,heartbeat,end,369664,7076
15,heartbeat,start,369664,7076
15,ECG,Q-wave_onset,369810,7222
15,heartbeat,end,370133,7545
16,heartbeat,start,370133,7545
16,ECG,Q-wave_onset,370278,7690
16,heartbeat,end,370595,8007
17,heartbeat,start,370595,8007
17,ECG,Q-wave_onset,370737,8149
17,heartbeat,end,371054,8466
18,heartbeat,start,371054,8466
18,ECG,Q-wave_onset,371197,8609
18,heartbeat,end,371514,8926
19,heartbeat,start,371514,8926
19,ECG,Q-wave_onset,371656,9068
19,heartbeat,end,371973,9385
20,heartbeat,start,371973,9385
20,ECG,Q-wave_onset,372115,9527
20,heartbeat,end,372431,9843
21,heartbeat,start,372431,9843
21,ECG,Q-wave_onset,372573,9985
21,heartbeat,end,372879,10291
22,heartbeat,start,372879,10291
22,ECG,Q-wave_onset,373015,10427
22,heartbeat,end,373329,10741
23,heartbeat,start,373329,10741
23,ECG,Q-wave_onset,373470,10882
23,heartbeat,end,373784,11196
24,heartbeat,start,373784,11196
24,ECG,Q-wave_onset,373926,11338
24,heartbeat,end,374245,11657
25,heartbeat,start,374245,11657
25,ECG,Q-wave_onset,374389,11801
25,heartbeat,end,374703,12115
26,heartbeat,start,374703,12115
26,ECG,Q-wave_onset,374844,12256
26,heartbeat,end,375163,12575
27,heartbeat,start,375163,12575
27,ECG,Q-wave_onset,375307,12719
27,heartbeat,end,375630,13042
28,heartbeat,start,375630,13042
28,ECG,Q-wave_onset,375775,13187
28,heartbeat,end,376101,13513
29,heartbeat,start,376101,13513
29,ECG,Q-wave_onset,376248,13660
29,heartbeat,end,376576,13988
30,heartbeat,start,376576,13988
30,ECG,Q-wave_onset,376724,14136
30,heartbeat,end,377042,14454
31,heartbeat,start,377042,14454
31,ECG,Q-wave_onset,377186,14598
31,heartbeat,end,377504,14916
32,heartbeat,start,377504,14916
32,ECG,Q-wave_onset,377647,15059
32,heartbeat,end,377963,15375
33,heartbeat,start,377963,15375
33,ECG,Q-wave_onset,378106,15518
33,heartbeat,end,378424,15836
34,heartbeat,start,378424,15836
34,ECG,Q-wave_onset,378566,15978
34,heartbeat,end,378881,16293
35,heartbeat,start,378881,16293
