participant,condition,phase,heartbeat_id_reference,rater_difference,Agreement
GDN0005,Dummy,HoldingBreath,0,0.0,High Agreement
GDN0005,Dummy,HoldingBreath,1,2.0,High Agreement
GDN0005,Dummy,HoldingBreath,3,2.0,High Agreement
GDN0005,Dummy,HoldingBreath,4,0.0,High Agreement
GDN0005,Dummy,HoldingBreath,5,2.0,High Agreement
GDN0005,Dummy,HoldingBreath,6,0.0,High Agreement
GDN0005,Dummy,HoldingBreath,7,0.0,High Agreement
GDN0005,Dummy,HoldingBreath,9,14.0,Low Agreement
GDN0005,Dummy,HoldingBreath,10,2.0,High Agreement
GDN0005,Dummy,HoldingBreath,11,4.0,High Agreement
GDN0005,Dummy,HoldingBreath,12,2.0,High Agreement
GDN0005,Dummy,HoldingBreath,13,4.0,High Agreement
GDN0005,Dummy,HoldingBreath,15,0.0,High Agreement
GDN0005,Dummy,HoldingBreath,16,2.0,High Agreement
GDN0005,Dummy,HoldingBreath,17,8.0,Medium Agreement
GDN0005,Dummy,HoldingBreath,18,2.0,High Agreement
GDN0005,Dummy,HoldingBreath,19,4.0,High Agreement
GDN0005,Dummy,HoldingBreath,20,4.0,High Agreement
GDN0005,Dummy,HoldingBreath,21,16.0,Low Agreement
GDN0005,Dummy,HoldingBreath,22,36.0,Low Agreement
GDN0005,Dummy,HoldingBreath,23,0.0,High Agreement
GDN0005,Dummy,HoldingBreath,24,2.0,High Agreement
GDN0005,Dummy,HoldingBreath,25,2.0,High Agreement
GDN0005,Dummy,HoldingBreath,26,4.0,High Agreement
GDN0005,Dummy,HoldingBreath,27,0.0,High Agreement
GDN0005,Dummy,HoldingBreath,28,2.0,High Agreement
GDN0005,Dummy,HoldingBreath,29,0.0,High Agreement
GDN0005,Dummy,HoldingBreath,30,2.0,High Agreement
GDN0005,Dummy,HoldingBreath,31,4.0,High Agreement
GDN0005,Dummy,HoldingBreath,32,0.0,High Agreement
GDN0005,Dummy,HoldingBreath,33,2.0,High Agreement
GDN0005,Dummy,HoldingBreath,34,2.0,High Agreement
GDN0005,Dummy,HoldingBreath,35,4.0,High Agreement
GDN0005,Dummy,HoldingBreath,36,12.0,Low Agreement
GDN0005,Dummy,HoldingBreath,37,4.0,High Agreement
GDN0005,Dummy,HoldingBreath,38,6.0,Medium Agreement
GDN0005,Dummy,HoldingBreath,39,4.0,High Agreement
GDN0005,Dummy,HoldingBreath,40,0.0,High Agreement
GDN0005,Dummy,HoldingBreath,41,6.0,Medium Agreement
GDN0005,Dummy,HoldingBreath,42,2.0,High Agreement
GDN0005,Dummy,HoldingBreath,43,0.0,High Agreement
GDN0005,Dummy,HoldingBreath,44,2.0,High Agreement
GDN0005,Dummy,HoldingBreath,45,2.0,High Agreement
GDN0005,Dummy,HoldingBreath,46,4.0,High Agreement
GDN0005,Dummy,HoldingBreath,47,0.0,High Agreement
GDN0005,Dummy,HoldingBreath,48,2.0,High Agreement
GDN0005,Dummy,HoldingBreath,49,2.0,High Agreement
GDN0005,Dummy,HoldingBreath,50,0.0,High Agreement
GDN0005,Dummy,HoldingBreath,51,0.0,High Agreement
GDN0005,Dummy,HoldingBreath,52,26.0,Low Agreement
GDN0005,Dummy,HoldingBreath,53,38.0,Low Agreement
GDN0005,Dummy,HoldingBreath,54,0.0,High Agreement
GDN0005,Dummy,HoldingBreath,55,26.0,Low Agreement
GDN0005,Dummy,HoldingBreath,56,6.0,Medium Agreement
GDN0005,Dummy,HoldingBreath,57,4.0,High Agreement
GDN0005,Dummy,HoldingBreath,58,4.0,High Agreement
GDN0005,Dummy,HoldingBreath,59,0.0,High Agreement
GDN0005,Dummy,HoldingBreath,60,10.0,Medium Agreement
GDN0005,Dummy,HoldingBreath,61,46.0,Low Agreement
GDN0005,Dummy,HoldingBreath,62,0.0,High Agreement
GDN0005,Dummy,HoldingBreath,63,0.0,High Agreement
GDN0005,Dummy,HoldingBreath,64,2.0,High Agreement
GDN0005,Dummy,HoldingBreath,65,0.0,High Agreement
GDN0005,Dummy,HoldingBreath,66,8.0,Medium Agreement
GDN0005,Dummy,HoldingBreath,67,6.0,Medium Agreement
GDN0005,Dummy,Pause,0,20.0,Low Agreement
GDN0005,Dummy,Pause,1,2.0,High Agreement
GDN0005,Dummy,Pause,2,2.0,High Agreement
GDN0005,Dummy,Pause,3,4.0,High Agreement
GDN0005,Dummy,Pause,4,6.0,Medium Agreement
GDN0005,Dummy,Pause,5,10.0,Medium Agreement
GDN0005,Dummy,Pause,6,6.0,Medium Agreement
GDN0005,Dummy,Pause,7,4.0,High Agreement
GDN0005,Dummy,Pause,8,0.0,High Agreement
GDN0005,Dummy,Pause,9,0.0,High Agreement
GDN0005,Dummy,Pause,10,0.0,High Agreement
GDN0005,Dummy,Pause,11,0.0,High Agreement
GDN0005,Dummy,Pause,13,0.0,High Agreement
GDN0005,Dummy,Pause,14,0.0,High Agreement
GDN0005,Dummy,Pause,15,0.0,High Agreement
GDN0005,Dummy,Pause,16,2.0,High Agreement
GDN0005,Dummy,Pause,17,0.0,High Agreement
GDN0005,Dummy,Pause,18,0.0,High Agreement
GDN0005,Dummy,Pause,19,20.0,Low Agreement
GDN0005,Dummy,Pause,20,8.0,Medium Agreement
GDN0005,Dummy,Pause,21,0.0,High Agreement
GDN0005,Dummy,Pause,22,6.0,Medium Agreement
GDN0005,Dummy,Pause,23,0.0,High Agreement
GDN0005,Dummy,Pause,24,4.0,High Agreement
GDN0005,Dummy,Pause,25,0.0,High Agreement
GDN0005,Dummy,Pause,26,4.0,High Agreement
GDN0005,Dummy,Pause,27,2.0,High Agreement
GDN0005,Dummy,Pause,28,2.0,High Agreement
GDN0005,Dummy,Pause,29,0.0,High Agreement
GDN0005,Dummy,Pause,30,0.0,High Agreement
GDN0005,Dummy,Pause,31,2.0,High Agreement
GDN0005,Dummy,Pause,32,0.0,High Agreement
GDN0005,Dummy,Pause,33,2.0,High Agreement
GDN0005,Dummy,Pause,34,0.0,High Agreement
GDN0005,Dummy,Pause,35,10.0,Medium Agreement
GDN0005,Dummy,Pause,36,6.0,Medium Agreement
GDN0005,Dummy,Pause,37,2.0,High Agreement
GDN0005,Dummy,Pause,38,6.0,Medium Agreement
GDN0005,Dummy,Pause,39,2.0,High Agreement
GDN0005,Dummy,Pause,40,4.0,High Agreement
GDN0005,Dummy,Pause,41,2.0,High Agreement
GDN0005,Dummy,Pause,42,8.0,Medium Agreement
GDN0005,Dummy,Pause,44,4.0,High Agreement
GDN0005,Dummy,Pause,45,14.0,Low Agreement
GDN0005,Dummy,Pause,46,0.0,High Agreement
GDN0005,Dummy,Pause,47,8.0,Medium Agreement
GDN0005,Dummy,Pause,48,10.0,Medium Agreement
GDN0005,Dummy,Pause,49,6.0,Medium Agreement
GDN0005,Dummy,Pause,50,8.0,Medium Agreement
GDN0005,Dummy,Pause,51,0.0,High Agreement
GDN0005,Dummy,Pause,52,0.0,High Agreement
GDN0005,Dummy,Pause,53,4.0,High Agreement
GDN0005,Dummy,Pause,54,8.0,Medium Agreement
GDN0005,Dummy,Pause,55,0.0,High Agreement
GDN0005,Dummy,Pause,56,2.0,High Agreement
GDN0005,Dummy,Pause,57,2.0,High Agreement
GDN0005,Dummy,Pause,58,2.0,High Agreement
GDN0005,Dummy,Pause,59,0.0,High Agreement
GDN0005,Dummy,Pause,60,0.0,High Agreement
GDN0005,Dummy,Pause,61,6.0,Medium Agreement
GDN0005,Dummy,Pause,62,4.0,High Agreement
GDN0005,Dummy,Pause,63,0.0,High Agreement
GDN0005,Dummy,TiltLevel,0,0.0,High Agreement
GDN0005,Dummy,TiltLevel,1,2.0,High Agreement
GDN0005,Dummy,TiltLevel,2,8.0,Medium Agreement
GDN0005,Dummy,TiltLevel,3,0.0,High Agreement
GDN0005,Dummy,TiltLevel,5,2.0,High Agreement
GDN0005,Dummy,TiltLevel,6,4.0,High Agreement
GDN0005,Dummy,TiltLevel,7,0.0,High Agreement
GDN0005,Dummy,TiltLevel,8,46.0,Low Agreement
GDN0005,Dummy,TiltLevel,9,4.0,High Agreement
GDN0005,Dummy,TiltLevel,10,52.0,Low Agreement
GDN0005,Dummy,TiltLevel,11,2.0,High Agreement
GDN0005,Dummy,TiltLevel,12,2.0,High Agreement
GDN0005,Dummy,TiltLevel,13,8.0,Medium Agreement
GDN0005,Dummy,TiltLevel,14,0.0,High Agreement
GDN0005,Dummy,TiltLevel,15,4.0,High Agreement
GDN0005,Dummy,TiltLevel,16,2.0,High Agreement
GDN0005,Dummy,TiltLevel,17,44.0,Low Agreement
GDN0005,Dummy,TiltLevel,18,0.0,High Agreement
GDN0005,Dummy,TiltLevel,19,2.0,High Agreement
GDN0005,Dummy,TiltLevel,20,68.0,Low Agreement
GDN0005,Dummy,TiltLevel,21,2.0,High Agreement
GDN0005,Dummy,TiltLevel,22,4.0,High Agreement
GDN0005,Dummy,TiltLevel,23,6.0,Medium Agreement
GDN0005,Dummy,TiltLevel,24,6.0,Medium Agreement
GDN0005,Dummy,TiltLevel,25,6.0,Medium Agreement
GDN0005,Dummy,TiltLevel,26,0.0,High Agreement
GDN0005,Dummy,TiltLevel,27,4.0,High Agreement
GDN0005,Dummy,TiltLevel,28,12.0,Low Agreement
GDN0005,Dummy,TiltLevel,29,50.0,Low Agreement
GDN0005,Dummy,TiltLevel,30,76.0,Low Agreement
GDN0005,Dummy,TiltLevel,31,0.0,High Agreement
GDN0005,Dummy,TiltLevel,32,0.0,High Agreement
GDN0005,Dummy,TiltLevel,33,2.0,High Agreement
GDN0005,Dummy,TiltLevel,34,0.0,High Agreement
GDN0005,Dummy,TiltLevel,35,0.0,High Agreement
GDN0005,Dummy,TiltLevel,36,2.0,High Agreement
GDN0005,Dummy,TiltLevel,37,4.0,High Agreement
GDN0005,Dummy,TiltLevel,38,2.0,High Agreement
GDN0005,Dummy,TiltLevel,39,4.0,High Agreement
GDN0005,Dummy,TiltLevel,40,0.0,High Agreement
GDN0005,Dummy,TiltLevel,41,0.0,High Agreement
GDN0005,Dummy,TiltLevel,42,0.0,High Agreement
GDN0005,Dummy,TiltLevel,43,2.0,High Agreement
GDN0005,Dummy,TiltLevel,44,12.0,Low Agreement
GDN0005,Dummy,TiltLevel,45,2.0,High Agreement
GDN0005,Dummy,TiltLevel,46,0.0,High Agreement
GDN0005,Dummy,TiltLevel,47,4.0,High Agreement
GDN0005,Dummy,TiltLevel,48,4.0,High Agreement
GDN0005,Dummy,TiltLevel,50,44.0,Low Agreement
GDN0005,Dummy,TiltLevel,52,0.0,High Agreement
GDN0005,Dummy,TiltLevel,53,90.0,Low Agreement
GDN0005,Dummy,TiltLevel,54,8.0,Medium Agreement
GDN0005,Dummy,TiltLevel,55,4.0,High Agreement
GDN0005,Dummy,TiltLevel,57,2.0,High Agreement
GDN0005,Dummy,TiltLevel,58,2.0,High Agreement
GDN0005,Dummy,TiltLevel,59,4.0,High Agreement
GDN0005,Dummy,TiltUp,0,2.0,High Agreement
GDN0005,Dummy,TiltUp,1,2.0,High Agreement
GDN0005,Dummy,TiltUp,2,2.0,High Agreement
GDN0005,Dummy,TiltUp,3,8.0,Medium Agreement
GDN0005,Dummy,TiltUp,4,0.0,High Agreement
GDN0005,Dummy,TiltUp,5,6.0,Medium Agreement
GDN0005,Dummy,TiltUp,6,0.0,High Agreement
GDN0005,Dummy,TiltUp,8,2.0,High Agreement
GDN0005,Dummy,TiltUp,9,8.0,Medium Agreement
GDN0005,Dummy,TiltUp,10,0.0,High Agreement
GDN0005,Dummy,TiltUp,11,0.0,High Agreement
GDN0005,Dummy,TiltUp,12,2.0,High Agreement
GDN0005,Dummy,TiltUp,13,2.0,High Agreement
GDN0005,Dummy,TiltUp,14,0.0,High Agreement
GDN0005,Dummy,TiltUp,16,2.0,High Agreement
GDN0005,Dummy,TiltUp,17,10.0,Medium Agreement
GDN0005,Dummy,TiltUp,18,0.0,High Agreement
GDN0005,Dummy,TiltUp,19,6.0,Medium Agreement
GDN0005,Dummy,TiltUp,20,0.0,High Agreement
GDN0005,Dummy,TiltUp,21,0.0,High Agreement
GDN0005,Dummy,TiltUp,22,4.0,High Agreement
