,mean,mean,mean,mean,std,std,std,std
metric_type,MAE,MARE,ME,MRE,MAE,MARE,ME,MRE
B-Point Algorithm,,,,,,,,
MinMax_KBest_RFR_RR-Interval,7.760119652556808,2.2611579852656556,0.07287948865741867,-0.14429114024514483,11.555172745568925,3.5804182372975295,13.9191237707767,4.232245790791593
SS_KBest_SVR_RR-Interval,7.772683882790753,2.297536037242315,-0.3713512132276662,-0.2875955807152446,13.520789746796341,4.268904465173311,15.591482233308719,4.839422509300233
SS_KBest_SVR_Without-RR-Interval,7.7979422242973735,2.31060307553581,-0.4174273984402423,-0.3118010726313909,13.521944295167135,4.3142471413431105,15.603924737856879,4.884147751727197
MinMax_SFM_RFR_RR-Interval,7.799676277391528,2.2762528650188343,0.1423842359736731,-0.1342147138910974,11.540334260937584,3.5879591516172273,13.928384459840034,4.247030196234613
MinMax_KBest_RFR_Without-RR-Interval,7.8040824261957,2.291105334807341,0.026633214331374312,-0.1551096027142238,11.696544186999532,3.6492174381705578,14.061223183472231,4.306088153370443
SS_SFM_RFR_RR-Interval,7.804929495213519,2.2770942793201296,0.11937894449835004,-0.12710986028743418,11.383910946361292,3.5331585762839963,13.802246632815201,4.201513134036811
SS_KBest_RFR_RR-Interval,7.826446822166657,2.2807863118292033,0.1067904037792914,-0.14295671941582247,11.656199590970102,3.622932617946864,14.039757764236493,4.278749022618863
SS_SFM_SVR_Without-RR-Interval,7.847288882832499,2.3255538277472168,-0.7674424712016252,-0.450706548258225,12.723475235857533,4.079358487278957,14.929288787975384,4.674048626229123
SS_KBest_RFR_Without-RR-Interval,7.84965624499446,2.2971532624134263,-0.0554435223392515,-0.17700555673907983,11.54439520089072,3.5979768788463815,13.9604088922977,4.265152323373668
SS_SFM_RFR_Without-RR-Interval,7.901364237504944,2.3111627313859557,0.05475733860343379,-0.14519407693764172,11.62801477628092,3.6210005367245492,14.058637599022173,4.293314396932091
MinMax_SFM_RFR_Without-RR-Interval,7.9524920583997405,2.3265887493454542,0.09477236476832754,-0.12942993198847227,11.71941487329405,3.6464232367147456,14.162765109962624,4.323561563530039
SS_SFM_SVR_RR-Interval,7.989289146747938,2.341279508917799,-0.5105999727594663,-0.38331952929020446,13.002274348552568,4.019377172793978,15.25232232253954,4.635791891491311
MinMax_None_RFR_RR-Interval-Include-Nan,8.127195379457746,2.457699719962779,-0.03428962130203754,-0.22100780862884217,12.119868218789387,3.9243576521092995,14.592710919851843,4.62520913961038
SS_None_RFR_RR-Interval-Include-Nan,8.176128464620394,2.4707504773389553,-0.016218605239558464,-0.21902094290230015,12.190454814925024,3.94890339470034,14.67862223382499,4.653065087787696
MinMax_SFM_DTR_Without-RR-Interval,8.178128306242185,2.401146376404223,-0.13051841877464654,-0.19053027944855763,13.88015580326173,4.236518014131649,16.10993185693063,4.865987886788785
MinMax_SFM_DTR_RR-Interval,8.191072295002426,2.4099537646813487,-0.2702571567200388,-0.22559866394966993,13.803362990157062,4.201495704518519,16.04867472971569,4.838399245532207
SS_KBest_DTR_RR-Interval,8.193886462882096,2.4147141578880325,-0.048229015041242114,-0.18370034507982094,14.212858575205784,4.346924714509264,16.40577074922475,4.969246998062917
SS_SFM_DTR_Without-RR-Interval,8.21852457439646,2.4207893782947862,-0.2704626334519573,-0.23731850254968867,13.934019105580544,4.25051610009453,16.17511590902893,4.8858312027450035
SS_KBest_DTR_Without-RR-Interval,8.233625084158891,2.421947143991284,-0.2437241511974608,-0.2207859064297121,14.103597367425133,4.284358296347958,16.329456652894713,4.916641853264406
SS_SFM_DTR_RR-Interval,8.254924793789423,2.436600107404552,-0.41950509461426494,-0.30998034865751584,14.1351455640581,4.379750064720757,16.36388508874318,5.002370413807244
MinMax_None_RFR_Without-RR-Interval-Include-Nan,8.260384523444284,2.5166117147921083,-0.10284904479340706,-0.27757739529251874,13.029197271505373,4.453063446376588,15.426905939442287,5.107505856891286
SS_SFM_SVR_Without-RR-Interval-Median-Imputed,8.293286988615472,2.530427477987409,-0.30597638825487145,-0.3468408603680833,14.205370057492408,4.788880968724841,16.4463867717868,5.405247879223577
SS_SFM_RFR_RR-Interval-Median-Imputed,8.303369742321987,2.5105057352085023,-0.03280671255734405,-0.23250060971342235,12.295231639246248,3.9215457827267137,14.836569161179467,4.6505553328784
SS_None_RFR_Without-RR-Interval-Include-Nan,8.316623333118578,2.5380038216735326,-0.12202198893635532,-0.290667866649518,13.04429009382843,4.4627191277775,15.46967975428005,5.125758799576312
MinMax_KBest_DTR_RR-Interval,8.324745269286755,2.453111146877008,-0.13580786026200872,-0.20201541369668377,14.075395191669138,4.325767959907074,16.352565967244367,4.968882427174721
MinMax_KBest_RFR_RR-Interval-Median-Imputed,8.332127052218478,2.5252666645924036,0.0009745368236128888,-0.21548199137954538,12.295956119061433,3.932468711182168,14.85331985828942,4.6685562893921295
MinMax_KBest_DTR_Without-RR-Interval,8.402087140521305,2.4640059664827434,-0.009858613061460037,-0.15629845944085816,14.180477060258141,4.273593676779446,16.482951536995046,4.930626812555223
MinMax_SFM_RFR_RR-Interval-Median-Imputed,8.404488369006662,2.55207899347121,-0.058733336845771304,-0.23890881385993948,12.36431087974329,3.967338053767576,14.950401358208333,4.711303502476367
SS_KBest_RFR_RR-Interval-Median-Imputed,8.417847995672707,2.5515047087256995,-0.06160901983000529,-0.24050127610098004,12.597693695750447,3.991527349981585,15.15138996620657,4.731300599282624
MinMax_KBest_RFR_Without-RR-Interval-Median-Imputed,8.424805755594225,2.5840855656934663,-0.22183708917902834,-0.33882710744773564,13.050950874746913,4.4708480322227215,15.532603468711205,5.152840042426343
SS_KBest_SVR_RR-Interval-Median-Imputed,8.471520382270606,2.5909582475126656,-0.1972644960750225,-0.29673263745936135,15.932212723981696,5.420518166032635,18.04354696501392,6.000635502658735
SS_KBest_RFR_Without-RR-Interval-Median-Imputed,8.480556766753804,2.5940685166808795,-0.11953897068664449,-0.3093931445469115,13.40346709606818,4.485929008590031,15.860797020760065,5.172776497454415
SS_SFM_RFR_Without-RR-Interval-Median-Imputed,8.533432632254328,2.598966108161867,-0.0020665158508407985,-0.2532392641335227,12.897211953671805,4.272611321932178,15.464928844001403,4.994626868991733
MinMax_SFM_RFR_Without-RR-Interval-Median-Imputed,8.604736736305703,2.625120033283801,-0.06278733607573642,-0.29410703672110455,13.203366426347957,4.3506569675246825,15.759854859200336,5.072827397248218
MinMax_KBest_KNR_RR-Interval,8.621650568065531,2.5195858754509275,0.07396020809289665,-0.17661581997058273,12.340705477312175,3.845654998101147,15.054156021948492,4.594213237851124
MinMax_SFM_DTR_RR-Interval-Median-Imputed,8.625426467947566,2.6341582255039975,-0.08520380678757407,-0.2058871440365181,14.69144890835117,4.597048583420958,17.03631628884268,5.294324787206942
MinMax_SFM_SVR_RR-Interval,8.626069075426395,2.5133059900030856,-0.6154967201129936,-0.2872503724868304,12.618805656976429,3.7812755636110555,15.273233852104557,4.531318145690823
MinMax_KBest_SVR_RR-Interval,8.636889681289404,2.5133746095559992,-0.4697544490486463,-0.24893395216650138,12.542658602503245,3.772696339038978,15.221717939602051,4.526469765276176
SS_KBest_SVR_Without-RR-Interval-Median-Imputed,8.650959041534362,2.6337722018952103,-0.06678285857205231,-0.2562040386260649,16.01619027349924,5.3885972297591875,18.203286580597734,5.9923874227754705
MinMax_KBest_KNR_Without-RR-Interval,8.65541590074204,2.526071907675486,-0.0354575784572666,-0.19573912659681114,12.416311608279955,3.8577881934609635,15.135619156898537,4.6071537129535205
SS_SFM_KNR_Without-RR-Interval,8.662326682882206,2.514035427189772,0.02171021769840342,-0.1868564980073626,11.616730742160403,3.594661766472209,14.491069080117184,4.382654058584934
SS_KBest_KNR_RR-Interval,8.673275674636361,2.5373110134985817,0.22445913446036891,-0.12500811630904698,12.336551955891753,3.844337494843563,15.078897138980299,4.604549294829431
MinMax_SFM_KNR_Without-RR-Interval,8.695261401189834,2.5241167766490777,-0.0381164977201786,-0.20576150852795738,11.669429139092374,3.6247820364747643,14.552971071781768,4.412310198862889
SS_KBest_KNR_Without-RR-Interval,8.701373126449187,2.5324311992078767,0.19991178300421283,-0.12331996558495124,12.243299787984125,3.783414889639372,15.019307520728455,4.551136519701672
MinMax_KBest_SVR_Without-RR-Interval,8.719779028727134,2.5372599853813402,-0.5034256746410889,-0.2554718364849802,12.619768579441365,3.8064791767695643,15.331241220048616,4.567528770138004
MinMax_SFM_SVR_Without-RR-Interval,8.744173463285554,2.5511783603577434,-0.5521547435691354,-0.2626110702717997,12.77202395074081,3.85613669595735,15.468924202216593,4.616270799621334
MinMax_KBest_DTR_RR-Interval-Median-Imputed,8.790087987071287,2.673068352388878,0.07685401328784341,-0.1266587309200785,15.779622097214892,4.787593081502346,18.062755908911804,5.481873734191931
